pay_period,pairing,leg,flight,dep_airport,dep_local,arr_airport,arr_local,status,block,block_raw
PP26-03,A70651,1,63,ANC,2026-02-25 14:53,SDF,2026-02-26 00:58,-,6:05,6:05
PP26-03,A70651,2,108,SDF,2026-02-27 04:38,NRT,2026-02-28 08:20,-,13:42,13:42
PP26-03,A70651,3,109,NRT,2026-03-02 21:50,ANC,2026-03-02 10:23,DH,6:33,0:00
PP26-03,A70878,1,67,ANC,2026-03-04 08:27,SDF,2026-03-04 18:32,-,6:05,6:05
PP26-03,A70878,2,108,SDF,2026-03-06 04:38,NRT,2026-03-07 08:20,-,13:42,13:42
PP26-03,A70878,3,184,NRT,2026-03-08 20:20,HNL,2026-03-08 08:10,CML,6:50,0:00
PP26-03,A70878,4,68,HNL,2026-03-10 21:27,SGN,2026-03-12 02:45,-,12:18,12:18
PP26-03,A70878,5,153,SGN,2026-03-13 06:00,HKG,2026-03-13 09:35,CML,2:35,0:00
PP26-03,A70878,6,57,HKG,2026-03-15 02:15,ANC,2026-03-14 19:48,DH,9:33,0:00
