leg,flight,dep_airport,dep_local,arr_airport,arr_local,status,block,dep_token,arr_token,dep_utc_source,arr_utc_source,dep_utc_minus_local_hours,arr_utc_minus_local_hours
1,67,ANC,2026-03-04 08:27,SDF,2026-03-04 18:32,-,6:05,(WE08)17:27,(18)23:32,2026-03-04 17:27,2026-03-04 23:32,9,5
2,108,SDF,2026-03-06 04:38,NRT,2026-03-07 08:20,-,13:42,(FR04)09:38,(08)23:20,2026-03-06 09:38,2026-03-06 23:20,5,-9
3,184,NRT,2026-03-08 20:20,HNL,2026-03-08 08:10,CML,0:00,(SU20)11:20,(08)18:10,2026-03-08 11:20,2026-03-08 18:10,-9,10
4,68,HNL,2026-03-10 21:27,SGN,2026-03-12 02:45,-,12:18,(TU21)07:27,(02)19:45,2026-03-11 07:27,2026-03-11 19:45,10,-7
5,153,SGN,2026-03-13 06:00,HKG,2026-03-13 09:35,CML,0:00,(FR06)23:00,(09)01:35,2026-03-12 23:00,2026-03-13 01:35,-7,-8
6,57,HKG,2026-03-15 02:15,ANC,2026-03-14 19:48,DH,0:00,(SU02)18:15,(19)03:48,2026-03-14 18:15,2026-03-15 03:48,-8,8
